label_id,label,precision,recall,f1,support,predicted_support
0,admiration,0.67816091954022983,0.72540983606557374,0.70099009900990095,488,522
1,amusement,0.75471698113207553,0.79207920792079212,0.77294685990338163,303,318
2,anger,0.54000000000000004,0.41538461538461541,0.46956521739130436,195,150
3,annoyance,0.34265734265734266,0.1617161716171617,0.21973094170403587,303,143
4,approval,0.33658536585365856,0.34760705289672544,0.34200743494423791,397,410
5,caring,0.27860696517412936,0.73202614379084963,0.40360360360360359,153,402
6,confusion,0.41111111111111109,0.48684210526315791,0.44578313253012047,152,180
7,curiosity,0.3970223325062035,0.64516129032258063,0.49155145929339478,248,403
8,desire,0.40999999999999998,0.53246753246753242,0.4632768361581921,77,100
9,disappointment,0.19638242894056848,0.46625766871165641,0.27636363636363637,163,387
10,disapproval,0.20799999999999999,0.62328767123287676,0.31191088260497002,292,875
11,disgust,0.24215246636771301,0.55670103092783507,0.33750000000000002,97,223
12,embarrassment,0.73684210526315785,0.40000000000000002,0.51851851851851849,35,19
13,excitement,0.2348993288590604,0.36458333333333331,0.2857142857142857,96,149
14,fear,0.20000000000000001,0.68888888888888888,0.31,90,310
15,gratitude,0.8932584269662921,0.88826815642458101,0.89075630252100846,358,356
16,grief,0,0,0,13,1
17,joy,0.41328413284132842,0.65116279069767447,0.50564334085778784,172,271
18,love,0.58015267175572516,0.90476190476190477,0.7069767441860465,252,393
19,nervousness,0.36363636363636365,0.19047619047619047,0.25,21,11
20,optimism,0.43629343629343631,0.54066985645933019,0.48290598290598291,209,259
21,pride,0.61538461538461542,0.53333333333333333,0.5714285714285714,15,13
22,realization,0.14960629921259844,0.29921259842519687,0.1994750656167979,127,254
23,relief,0.20689655172413793,0.33333333333333331,0.25531914893617019,18,29
24,remorse,0.58730158730158732,0.54411764705882348,0.56488549618320616,68,63
25,sadness,0.30158730158730157,0.66433566433566438,0.41484716157205243,143,315
26,surprise,0.39247311827956988,0.56589147286821706,0.46349206349206351,129,186
27,neutral,0.863849765258216,0.10419026047565119,0.18595250126326426,1766,213
