slice,label,precision,recall,f1,support
all,joy,0.6041666666666666,0.47540983606557374,0.5321100917431193,61
all,sadness,0.09090909090909091,0.05,0.06451612903225806,20
all,anger,0.3157894736842105,0.27906976744186046,0.2962962962962963,43
all,positive,0.42028985507246375,0.29896907216494845,0.3493975903614458,97
all,negative,0.16666666666666666,0.14545454545454545,0.1553398058252427,110
all,neutral,0.18181818181818182,0.16666666666666666,0.17391304347826086,60
all,no_emotion,0.7654450261780105,0.8297389330306469,0.7962962962962963,881
context_available,joy,0.6333333333333333,0.5135135135135135,0.5671641791044776,37
context_available,sadness,0.125,0.07692307692307693,0.09523809523809523,13
context_available,anger,0.3103448275862069,0.3333333333333333,0.32142857142857145,27
context_available,positive,0.3673469387755102,0.3157894736842105,0.33962264150943394,57
context_available,negative,0.1388888888888889,0.1694915254237288,0.15267175572519084,59
context_available,neutral,0.15384615384615385,0.15,0.1518987341772152,40
context_available,no_emotion,0.8260869565217391,0.8330975954738331,0.8295774647887324,707
first_clause,joy,0.5555555555555556,0.4166666666666667,0.47619047619047616,24
first_clause,sadness,0.0,0.0,0.0,7
first_clause,anger,0.3333333333333333,0.1875,0.24,16
first_clause,positive,0.55,0.275,0.36666666666666664,40
first_clause,negative,0.25,0.11764705882352941,0.16,51
first_clause,neutral,0.25,0.2,0.2222222222222222,20
first_clause,no_emotion,0.5867768595041323,0.8160919540229885,0.6826923076923077,174
