label_id,label,tn,fp,fn,tp
0,admiration,4322,616,115,373
1,amusement,4795,328,73,230
2,anger,4784,447,73,122
3,annoyance,4094,1029,111,192
4,approval,3882,1147,163,234
5,caring,4960,313,70,83
6,confusion,4809,465,64,88
7,curiosity,4740,438,81,167
8,desire,5173,176,44,33
9,disappointment,4526,737,83,80
10,disapproval,4358,776,120,172
11,disgust,5061,268,55,42
12,embarrassment,5300,91,25,10
13,excitement,5029,301,57,39
14,fear,5197,139,54,36
15,gratitude,4947,121,62,296
16,grief,5398,15,7,6
17,joy,4771,483,67,105
18,love,4951,223,68,184
19,nervousness,5361,44,16,5
20,optimism,4732,485,80,129
21,pride,5385,26,11,4
22,realization,4600,699,75,52
23,relief,5370,38,15,3
24,remorse,5263,95,30,38
25,sadness,4914,369,50,93
26,surprise,5028,269,66,63
27,neutral,2595,1065,442,1324
