sample_rank,role,row_id,gold_id,gold_label,selection_reason,exp007_correct_count,exp007_run_count,exp007_predictions,exp011_correct_count,exp011_run_count,exp011_predictions,exp014_correct_count,exp014_run_count,exp014_predictions,exp015_correct_count,exp015_run_count,exp015_predictions,exp015_mean_gold_probability,exp015_unanimous_prediction,exp015_mean_unanimous_probability,exp015_minus_exp014_gold_probability
1,final_high_confidence_errors,1153,0,anger,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,1,1,anger,0,3,sadness|sadness|sadness,0,3,sadness|joy|sadness,0,3,sadness|sadness|sadness,0.010862241654,sadness,0.970311621825,-0.033580653525
2,final_high_confidence_errors,1050,0,anger,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,joy,0,3,joy|joy|joy,0,3,joy|joy|joy,0,3,joy|joy|joy,0.011777696510,joy,0.969258427620,-0.001607901882
3,final_high_confidence_errors,640,1,joy,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,1,1,joy,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.012961947670,anger,0.969681779544,-0.015799083437
4,final_high_confidence_errors,507,1,joy,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.011652147708,anger,0.967897872130,-0.005939342392
5,final_high_confidence_errors,1007,2,optimism,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.012204888898,anger,0.969340483348,0.000632908816
6,final_high_confidence_errors,40,2,optimism,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.018925507863,anger,0.961704134941,-0.006112363190
7,final_high_confidence_errors,1340,3,sadness,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.010335931554,anger,0.971549729506,-0.001850468262
8,final_high_confidence_errors,941,3,sadness,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.009104928622,anger,0.971249977748,-0.000015173573
9,final_high_confidence_errors,594,3,sadness,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.008825110271,anger,0.970028936863,-0.001976282026
10,final_high_confidence_errors,1344,3,sadness,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0,3,anger|anger|anger,0.008806516416,anger,0.969987690449,-0.002682713792
11,final_high_confidence_errors,208,3,sadness,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,1,1,sadness,3,3,sadness|sadness|sadness,3,3,sadness|sadness|sadness,0,3,joy|joy|joy,0.018685115501,joy,0.961310942968,-0.816400097683
12,final_high_confidence_errors,499,3,sadness,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,joy,0,3,joy|joy|joy,0,3,joy|joy|joy,0,3,joy|joy|joy,0.015523714634,joy,0.960966964563,-0.001433023562
13,final_high_confidence_errors,434,3,sadness,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,1,1,sadness,0,3,optimism|optimism|optimism,0,3,optimism|optimism|optimism,0,3,optimism|optimism|optimism,0.015241374262,optimism,0.962148129940,-0.005207149622
14,final_high_confidence_errors,200,1,joy,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,optimism,0,3,optimism|optimism|optimism,0,3,optimism|optimism|optimism,0,3,optimism|optimism|optimism,0.010831024808,optimism,0.960787475109,0.001248399106
15,final_high_confidence_errors,760,0,anger,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,joy,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0.012966993575,sadness,0.968976537387,-0.028091972694
16,final_high_confidence_errors,1333,0,anger,EXP-015 unanimous wrong prediction; ranked by mean probability assigned to that class,0,1,sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0.023502857424,sadness,0.951156894366,-0.084645053061
17,domain_recoveries,948,0,anger,EXP-014 0/3 correct to EXP-015 3/3 correct; ranked by descending gold-probability change,0,1,joy,0,3,joy|joy|joy,0,3,joy|joy|joy,3,3,anger|anger|anger,0.967063705126,anger,0.967063705126,0.944309795586
18,domain_recoveries,567,0,anger,EXP-014 0/3 correct to EXP-015 3/3 correct; ranked by descending gold-probability change,0,1,optimism,0,3,joy|joy|joy,0,3,joy|joy|joy,3,3,anger|anger|anger,0.932327608268,anger,0.932327608268,0.909038087043
19,domain_recoveries,1134,1,joy,EXP-014 0/3 correct to EXP-015 3/3 correct; ranked by descending gold-probability change,0,1,anger,0,3,anger|anger|anger,0,3,anger|anger|anger,3,3,joy|joy|joy,0.816016654173,joy,0.816016654173,0.791992063323
20,domain_recoveries,1129,1,joy,EXP-014 0/3 correct to EXP-015 3/3 correct; ranked by descending gold-probability change,0,1,sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,3,3,joy|joy|joy,0.832332531611,joy,0.832332531611,0.782957136631
21,domain_recoveries,267,3,sadness,EXP-014 0/3 correct to EXP-015 3/3 correct; ranked by descending gold-probability change,0,1,joy,0,3,joy|joy|joy,0,3,joy|joy|joy,3,3,sadness|sadness|sadness,0.967316766580,sadness,0.967316766580,0.932490656773
22,domain_recoveries,140,3,sadness,EXP-014 0/3 correct to EXP-015 3/3 correct; ranked by descending gold-probability change,0,1,joy,0,3,joy|joy|joy,0,3,joy|joy|joy,3,3,sadness|sadness|sadness,0.967414339384,sadness,0.967414339384,0.931018234541
23,domain_regressions,1019,0,anger,EXP-014 3/3 correct to EXP-015 0/3 correct; ranked by ascending gold-probability change,1,1,anger,3,3,anger|anger|anger,3,3,anger|anger|anger,0,3,joy|joy|joy,0.016761632636,joy,0.958454449971,-0.903063861653
24,domain_regressions,642,0,anger,EXP-014 3/3 correct to EXP-015 0/3 correct; ranked by ascending gold-probability change,0,1,optimism,3,3,anger|anger|anger,3,3,anger|anger|anger,0,3,optimism|optimism|optimism,0.151836802872,optimism,0.799170593421,-0.747761537321
25,domain_regressions,115,3,sadness,EXP-014 3/3 correct to EXP-015 0/3 correct; ranked by ascending gold-probability change,1,1,sadness,2,3,sadness|sadness|optimism,3,3,sadness|sadness|sadness,0,3,joy|joy|joy,0.021774212209,joy,0.931503673395,-0.923906565023
26,domain_regressions,768,3,sadness,EXP-014 3/3 correct to EXP-015 0/3 correct; ranked by ascending gold-probability change,1,1,sadness,3,3,sadness|sadness|sadness,3,3,sadness|sadness|sadness,0,3,joy|joy|joy,0.112549535930,joy,0.825270315011,-0.780883498490
27,shared_errors,1186,0,anger,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0.057711205445,sadness,0.916956345240,0.038418987766
28,shared_errors,1364,0,anger,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,optimism,0,3,joy|joy|joy,0,3,joy|joy|joy,0,3,joy|joy|joy,0.024092849344,joy,0.953656057517,-0.005708155533
29,shared_errors,1231,1,joy,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0.114070889850,sadness,0.834474821885,0.099658473084
30,shared_errors,213,1,joy,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,sadness,0,3,optimism|sadness|anger,0,3,optimism|anger|sadness,0,3,sadness|sadness|anger,0.024237301822,,,0.009461932505
31,shared_errors,458,2,optimism,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0.127976956467,sadness,0.834389527639,-0.089339834948
32,shared_errors,1170,2,optimism,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,anger,0,3,sadness|anger|joy,0,3,sadness|sadness|joy,0,3,joy|joy|joy,0.029429942990,joy,0.859920402368,-0.002020157253
