sample_id,sample_role,source_train_row,aggregation_only,gold_cardinality,standalone_decidability,label_coherence,context_trigger,annotation_interpretation,reviewer_confidence
EXP-035-S001,aggregation_only,41720,True,2,indeterminate,ambiguous,sarcasm_or_irony,cross_rater_disagreement_likely,medium
EXP-035-S002,aggregation_only,6320,True,2,explicit,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S003,aggregation_only,43383,True,2,explicit,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S004,aggregation_only,34378,True,2,explicit,emotion_only_plausible,pronoun_or_deixis,cross_rater_disagreement_likely,high
EXP-035-S005,aggregation_only,38899,True,2,explicit,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S006,aggregation_only,13769,True,2,indeterminate,ambiguous,sarcasm_or_irony,cross_rater_disagreement_likely,medium
EXP-035-S007,aggregation_only,14937,True,2,explicit,emotion_only_plausible,pronoun_or_deixis,cross_rater_disagreement_likely,high
EXP-035-S008,aggregation_only,38363,True,2,explicit,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S009,aggregation_only,39482,True,2,implicit_but_decidable,both_plausible,reply_reference,cross_rater_disagreement_likely,medium
EXP-035-S010,aggregation_only,775,True,3,context_likely_needed,ambiguous,pronoun_or_deixis;external_event,genuine_multilabel_possible,medium
EXP-035-S011,aggregation_only,34834,True,2,context_likely_needed,neutral_only_plausible,pronoun_or_deixis,cross_rater_disagreement_likely,high
EXP-035-S012,aggregation_only,22807,True,2,implicit_but_decidable,both_plausible,none,cross_rater_disagreement_likely,medium
EXP-035-S013,aggregation_only,10271,True,2,implicit_but_decidable,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S014,aggregation_only,29279,True,2,explicit,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S015,aggregation_only,27223,True,2,explicit,emotion_only_plausible,pronoun_or_deixis,cross_rater_disagreement_likely,high
EXP-035-S016,aggregation_only,28283,True,2,implicit_but_decidable,both_plausible,pronoun_or_deixis;external_event,cross_rater_disagreement_likely,medium
EXP-035-S017,any_unclear,33148,True,2,implicit_but_decidable,both_plausible,none,cross_rater_disagreement_likely,medium
EXP-035-S018,any_unclear,29877,True,2,context_likely_needed,ambiguous,reply_reference;pronoun_or_deixis,unclear_case,medium
EXP-035-S019,any_unclear,37391,True,2,implicit_but_decidable,both_plausible,external_event,cross_rater_disagreement_likely,medium
EXP-035-S020,any_unclear,558,True,2,implicit_but_decidable,both_plausible,external_event,cross_rater_disagreement_likely,medium
EXP-035-S021,any_unclear,32867,True,2,explicit,emotion_only_plausible,reply_reference;external_event,cross_rater_disagreement_likely,high
EXP-035-S022,any_unclear,10049,True,2,indeterminate,ambiguous,external_event,unclear_case,low
EXP-035-S023,any_unclear,12304,True,2,explicit,emotion_only_plausible,reply_reference,cross_rater_disagreement_likely,high
EXP-035-S024,any_unclear,24757,True,2,context_likely_needed,ambiguous,external_event,unclear_case,low
EXP-035-S025,gold_cardinality_at_least_3,28334,True,3,explicit,both_plausible,reply_reference,genuine_multilabel_possible,high
EXP-035-S026,gold_cardinality_at_least_3,40459,True,3,explicit,emotion_only_plausible,none,genuine_multilabel_possible,high
EXP-035-S027,gold_cardinality_at_least_3,42702,True,3,implicit_but_decidable,emotion_only_plausible,sarcasm_or_irony,genuine_multilabel_possible,medium
EXP-035-S028,gold_cardinality_at_least_3,1539,True,3,context_likely_needed,ambiguous,external_event,uncertain,medium
EXP-035-S029,residual_fill,23653,True,2,implicit_but_decidable,both_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S030,residual_fill,29863,True,2,explicit,emotion_only_plausible,reply_reference;pronoun_or_deixis,cross_rater_disagreement_likely,high
EXP-035-S031,residual_fill,28107,True,2,explicit,emotion_only_plausible,external_event,cross_rater_disagreement_likely,high
EXP-035-S032,residual_fill,32173,True,2,explicit,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S033,residual_fill,12432,True,2,explicit,both_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S034,residual_fill,42398,True,2,explicit,emotion_only_plausible,pronoun_or_deixis,cross_rater_disagreement_likely,high
EXP-035-S035,residual_fill,42594,True,2,implicit_but_decidable,both_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S036,residual_fill,18749,True,2,implicit_but_decidable,ambiguous,none,cross_rater_disagreement_likely,medium
EXP-035-S037,residual_fill,43168,True,2,indeterminate,neutral_only_plausible,none,cross_rater_disagreement_likely,medium
EXP-035-S038,residual_fill,43125,True,2,explicit,emotion_only_plausible,none,cross_rater_disagreement_likely,high
EXP-035-S039,residual_fill,20491,True,2,implicit_but_decidable,both_plausible,none,cross_rater_disagreement_likely,medium
EXP-035-S040,residual_fill,18856,True,2,implicit_but_decidable,both_plausible,pronoun_or_deixis,cross_rater_disagreement_likely,medium
EXP-035-S041,residual_fill,40035,True,2,explicit,emotion_only_plausible,reply_reference,cross_rater_disagreement_likely,high
EXP-035-S042,residual_fill,35091,True,2,context_likely_needed,ambiguous,external_event,uncertain,medium
EXP-035-S043,residual_fill,4031,True,2,explicit,emotion_only_plausible,pronoun_or_deixis;external_event,cross_rater_disagreement_likely,high
EXP-035-S044,residual_fill,35208,True,2,explicit,emotion_only_plausible,pronoun_or_deixis;external_event,cross_rater_disagreement_likely,high
EXP-035-S045,residual_fill,17522,True,2,explicit,emotion_only_plausible,reply_reference,cross_rater_disagreement_likely,medium
EXP-035-S046,residual_fill,30127,True,2,implicit_but_decidable,emotion_only_plausible,reply_reference,cross_rater_disagreement_likely,high
EXP-035-S047,residual_fill,42539,True,2,explicit,emotion_only_plausible,external_event,cross_rater_disagreement_likely,high
EXP-035-S048,residual_fill,33385,True,2,explicit,both_plausible,external_event,cross_rater_disagreement_likely,high
