label_id,label,tn,fp,fn,tp
0,admiration,4756,182,132,356
1,amusement,5052,71,65,238
2,anger,5175,56,117,78
3,annoyance,5115,8,287,16
4,approval,4943,86,313,84
5,caring,5164,109,73,80
6,confusion,5237,37,98,54
7,curiosity,4968,210,69,179
8,desire,5322,27,38,39
9,disappointment,5093,170,93,70
10,disapproval,4959,175,173,119
11,disgust,5226,103,44,53
12,embarrassment,5387,4,19,16
13,excitement,5272,58,63,33
14,fear,5323,13,48,42
15,gratitude,5043,25,42,316
16,grief,5410,3,12,1
17,joy,5207,47,92,80
18,love,5108,66,56,196
19,nervousness,5401,4,16,5
20,optimism,5181,36,116,93
21,pride,5411,0,11,4
22,realization,5255,44,101,26
23,relief,5406,2,17,1
24,remorse,5341,17,28,40
25,sadness,5262,21,91,52
26,surprise,5266,31,83,46
27,neutral,3049,611,614,1152
