dimension,group,value,count,denominator,proportion
evidence_flag,ALL,annotation_ambiguity,16,42,0.380952380952
evidence_flag,ALL,implicit_emotion,14,42,0.333333333333
evidence_flag,ALL,lexical_cue_conflict,32,42,0.761904761905
evidence_flag,ALL,minority_class,6,42,0.142857142857
evidence_flag,ALL,mixed_emotion,27,42,0.642857142857
evidence_flag,ALL,negation,7,42,0.166666666667
evidence_flag,ALL,possible_context_dependency,18,42,0.428571428571
evidence_flag,ALL,sarcasm_or_irony,13,42,0.309523809524
evidence_flag,ALL,slang_or_noise,16,42,0.380952380952
primary_possible_source,ALL,annotation_or_data_uncertainty,7,42,0.166666666667
primary_possible_source,ALL,missing_context,4,42,0.095238095238
primary_possible_source,ALL,model_or_representation_limit,12,42,0.285714285714
primary_possible_source,ALL,ontology_overlap,14,42,0.333333333333
primary_possible_source,ALL,surface_form_noise,5,42,0.119047619048
reviewer_confidence,ALL,high,35,42,0.833333333333
reviewer_confidence,ALL,medium,7,42,0.166666666667
role,ALL,domain_recoveries,6,42,0.142857142857
role,ALL,domain_regressions,4,42,0.095238095238
role,ALL,final_high_confidence_errors,16,42,0.380952380952
role,ALL,ordinary_final_errors,8,42,0.190476190476
role,ALL,shared_errors,8,42,0.190476190476
gold_label,ALL,anger,12,42,0.285714285714
gold_label,ALL,joy,9,42,0.214285714286
gold_label,ALL,optimism,6,42,0.142857142857
gold_label,ALL,sadness,15,42,0.357142857143
evidence_flag_by_role,domain_recoveries,annotation_ambiguity,1,6,0.166666666667
evidence_flag_by_role,domain_recoveries,implicit_emotion,2,6,0.333333333333
evidence_flag_by_role,domain_recoveries,lexical_cue_conflict,2,6,0.333333333333
evidence_flag_by_role,domain_recoveries,mixed_emotion,2,6,0.333333333333
evidence_flag_by_role,domain_recoveries,negation,1,6,0.166666666667
evidence_flag_by_role,domain_recoveries,possible_context_dependency,2,6,0.333333333333
evidence_flag_by_role,domain_recoveries,sarcasm_or_irony,2,6,0.333333333333
evidence_flag_by_role,domain_recoveries,slang_or_noise,5,6,0.833333333333
primary_source_by_role,domain_recoveries,missing_context,1,6,0.166666666667
primary_source_by_role,domain_recoveries,model_or_representation_limit,1,6,0.166666666667
primary_source_by_role,domain_recoveries,ontology_overlap,1,6,0.166666666667
primary_source_by_role,domain_recoveries,surface_form_noise,3,6,0.500000000000
evidence_flag_by_role,domain_regressions,annotation_ambiguity,1,4,0.250000000000
evidence_flag_by_role,domain_regressions,implicit_emotion,1,4,0.250000000000
evidence_flag_by_role,domain_regressions,lexical_cue_conflict,4,4,1.000000000000
evidence_flag_by_role,domain_regressions,mixed_emotion,3,4,0.750000000000
evidence_flag_by_role,domain_regressions,possible_context_dependency,2,4,0.500000000000
evidence_flag_by_role,domain_regressions,sarcasm_or_irony,2,4,0.500000000000
evidence_flag_by_role,domain_regressions,slang_or_noise,2,4,0.500000000000
primary_source_by_role,domain_regressions,annotation_or_data_uncertainty,1,4,0.250000000000
primary_source_by_role,domain_regressions,model_or_representation_limit,2,4,0.500000000000
primary_source_by_role,domain_regressions,ontology_overlap,1,4,0.250000000000
evidence_flag_by_role,final_high_confidence_errors,annotation_ambiguity,6,16,0.375000000000
evidence_flag_by_role,final_high_confidence_errors,implicit_emotion,6,16,0.375000000000
evidence_flag_by_role,final_high_confidence_errors,lexical_cue_conflict,14,16,0.875000000000
evidence_flag_by_role,final_high_confidence_errors,minority_class,2,16,0.125000000000
evidence_flag_by_role,final_high_confidence_errors,mixed_emotion,12,16,0.750000000000
evidence_flag_by_role,final_high_confidence_errors,negation,1,16,0.062500000000
evidence_flag_by_role,final_high_confidence_errors,possible_context_dependency,6,16,0.375000000000
evidence_flag_by_role,final_high_confidence_errors,sarcasm_or_irony,5,16,0.312500000000
evidence_flag_by_role,final_high_confidence_errors,slang_or_noise,4,16,0.250000000000
primary_source_by_role,final_high_confidence_errors,annotation_or_data_uncertainty,4,16,0.250000000000
primary_source_by_role,final_high_confidence_errors,model_or_representation_limit,4,16,0.250000000000
primary_source_by_role,final_high_confidence_errors,ontology_overlap,7,16,0.437500000000
primary_source_by_role,final_high_confidence_errors,surface_form_noise,1,16,0.062500000000
evidence_flag_by_role,ordinary_final_errors,annotation_ambiguity,4,8,0.500000000000
evidence_flag_by_role,ordinary_final_errors,implicit_emotion,4,8,0.500000000000
evidence_flag_by_role,ordinary_final_errors,lexical_cue_conflict,5,8,0.625000000000
evidence_flag_by_role,ordinary_final_errors,minority_class,2,8,0.250000000000
