label_id,label,tn,fp,fn,tp
0,admiration,4732,206,107,381
1,amusement,5025,98,36,267
2,anger,5114,117,96,99
3,annoyance,4879,244,168,135
4,approval,4728,301,236,161
5,caring,5173,100,76,77
6,confusion,5161,113,78,74
7,curiosity,4997,181,85,163
8,desire,5313,36,36,41
9,disappointment,5177,86,120,43
10,disapproval,4986,148,178,114
11,disgust,5258,71,49,48
12,embarrassment,5380,11,19,16
13,excitement,5270,60,66,30
14,fear,5316,20,37,53
15,gratitude,5041,27,38,320
16,grief,5413,0,13,0
17,joy,5159,95,65,107
18,love,5082,92,31,221
19,nervousness,5397,8,15,6
20,optimism,5124,93,87,122
21,pride,5410,1,12,3
22,realization,5235,64,98,29
23,relief,5408,0,17,1
24,remorse,5331,27,16,52
25,sadness,5189,94,52,91
26,surprise,5216,81,54,75
27,neutral,2979,681,606,1160
