label_id,label,tn,fp,fn,tp
0,admiration,4807,131,157,331
1,amusement,5009,114,32,271
2,anger,5122,109,103,92
3,annoyance,4969,154,215,88
4,approval,4909,120,301,96
5,caring,5204,69,90,63
6,confusion,5189,85,81,71
7,curiosity,4985,193,81,167
8,desire,5307,42,36,41
9,disappointment,5165,98,113,50
10,disapproval,5006,128,198,94
11,disgust,5282,47,58,39
12,embarrassment,5391,0,24,11
13,excitement,5311,19,73,23
14,fear,5328,8,57,33
15,gratitude,5052,16,45,313
16,grief,5412,1,13,0
17,joy,5201,53,84,88
18,love,5094,80,49,203
19,nervousness,5404,1,18,3
20,optimism,5194,23,149,60
21,pride,5410,1,14,1
22,realization,5290,9,112,15
23,relief,5407,1,17,1
24,remorse,5344,14,41,27
25,sadness,5197,86,62,81
26,surprise,5259,38,87,42
27,neutral,3072,588,661,1105
