label_id,label,tn,fp,fn,tp
0,admiration,4840,98,202,286
1,amusement,5022,101,39,264
2,anger,5098,133,96,99
3,annoyance,4814,309,198,105
4,approval,4765,264,258,139
5,caring,5052,221,48,105
6,confusion,4983,291,57,95
7,curiosity,4898,280,79,169
8,desire,5259,90,26,51
9,disappointment,4903,360,96,67
10,disapproval,4706,428,147,145
11,disgust,5170,159,44,53
12,embarrassment,5389,2,23,12
13,excitement,5160,170,55,41
14,fear,5244,92,35,55
15,gratitude,5046,22,46,312
16,grief,5412,1,13,0
17,joy,5073,181,65,107
18,love,5074,100,37,215
19,nervousness,5390,15,17,4
20,optimism,5141,76,109,100
21,pride,5410,1,8,7
22,realization,5138,161,92,35
23,relief,5383,25,16,2
24,remorse,5330,28,34,34
25,sadness,5102,181,43,100
26,surprise,5169,128,61,68
27,neutral,3622,38,1539,227
