source_train_row,example_hash,gold_label_ids,gold_labels,gold_cardinality,rater_count,unclear_count,neutral_votes,max_emotion_votes,same_rater_coselection_count,aggregation_only,derived_labels_match
21,3b72de5d1694cae13f3f766bc0e2d01b1f697bb3ea2ecf4dbea17cdc6ffa8a4c,6|9|27,confusion|disappointment|neutral,3,5,0,2,2,0,True,True
43,9219f92ffc039a4f796aa9915d3cda052ac1c0e405ee91660c55ee17c88d0b21,16|27,grief|neutral,2,5,0,2,2,0,True,True
121,9e3faa87cc6504b87818251ca2dcfb5d35c867e70d39936b7c98888821ad64e2,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
149,b2ac332b97932993d5d7f22a309d7115888a5d26488ad82b518912e0550ce8fa,1|27,amusement|neutral,2,5,0,2,2,0,True,True
204,bf6d43089476c05c3a41d582eaf3269711149fe2d249c570081470f740a05cae,9|27,disappointment|neutral,2,5,0,2,3,0,True,True
206,a608a8c327714294990de977b5ef655ffcbed5224be797d5a46ff58314aeb94f,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
228,fa368729a4d3f2dbfaad8df98f73fd9883ab8b323fa64d0bb2d1f55aa9d8e054,5|27,caring|neutral,2,5,0,3,2,0,True,True
238,b200b76c9f9121aff9250304456ff66e8a48e1a79aedfb4cb083a93d799f14be,8|27,desire|neutral,2,5,0,2,2,0,True,True
259,b824482dd74fcf178f954c143683913453b84f611a1a65a7c54eee0c51fe4f4c,2|27,anger|neutral,2,5,0,2,2,0,True,True
276,fe0370d7050702dcd7f80fc98075a81b5e6a5c3c74b9fd7bbe1ca954507b294a,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
293,7bbf236bb30f60a659966be2a5e812b04a4e28a6ff24ab9b5c3b896ad1d6a457,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
312,48d120050f321a0d448d78ffdca9e8d9d8f092dd09ed6c11410d02461a58602f,18|27,love|neutral,2,5,0,2,3,0,True,True
484,0de78c6cd18fd67440a5d53f9b48402540fb1bba8f2243d3373de82348af987d,0|27,admiration|neutral,2,5,0,2,2,0,True,True
525,22cdc25fa8760051066bb98fcde958c07455ea1dea3f4deca2523d32e05697c1,0|27,admiration|neutral,2,5,0,2,2,0,True,True
542,8fda39db1a3e670714b521960d59642f83bfe336f441d89fbff4bb329c132e91,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
558,463a4d59041bf4ab48caa2a53879a0dda6f083b74945a049f9e243bc0b316e4b,10|27,disapproval|neutral,2,5,1,2,2,0,True,True
570,0ec355bfa73ba316fbf7c22ff2a5ea54f2018438a9ad30b764a85f34ad603f14,25|27,sadness|neutral,2,5,0,2,2,0,True,True
574,c93e800b115516a50d506a4d43f2da2ab230b143f24f3b6ac39a007bf1e28901,2|27,anger|neutral,2,5,0,2,2,0,True,True
584,f55d7dcd267aedfa0ae64bae4ab91475e65507b3866d1efaf9ea8ebba832d0a5,1|27,amusement|neutral,2,4,0,2,2,0,True,True
614,2a7d604018b309f985de7e68ebeada2055f8a555b217a5ff4803b848893f2911,5|27,caring|neutral,2,5,0,2,2,0,True,True
647,6ed3cc9fa0ce0695bdd7989cb3b1d41a7fef333ff81974c74684bb8c362d65fc,1|27,amusement|neutral,2,5,0,3,2,0,True,True
672,4a15f8ba21ec75773ef7f30c7802d9c6c04bd08b7e4b5c644c7eaf805c87b62d,22|27,realization|neutral,2,5,1,2,2,0,True,True
717,1d8e6bdd34457724e28587316ec0f630a5ae073cfd5ab4e8532132fe12e0daf2,0|27,admiration|neutral,2,5,0,3,2,0,True,True
727,d8beb8b4368eb18272afdefc83aa8cbb035baa6d70d135878a810a213e6fe66f,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
729,9cd26ab58f08727464d12efb62bd334ceb4b302b3b9f2c527c78f7c6e1025b6e,15|27,gratitude|neutral,2,5,0,2,3,0,True,True
733,179e837a50de94ee2a52164cbd274ddba04be1084b05f4bfa9bb4c23803724a7,0|27,admiration|neutral,2,5,0,2,3,0,True,True
735,9fe5023dd5200c1cc3154ae8f7dfc8f68b8afcfa8ff5a369c172b3621944fbd3,18|27,love|neutral,2,5,0,2,2,0,True,True
759,979bd23a1755e02b9a06f50195831b4238598ff93f026b4014bcc361427e57d5,2|27,anger|neutral,2,5,0,2,2,0,True,True
775,67726d4d5f6aa605846a4758ad71c813af696629a12c70e365702514c1f93433,6|22|27,confusion|realization|neutral,3,5,0,2,3,0,True,True
798,8c3bd10a0ad72216b36c7638c836c4d55ae3a5c0ec519de9ce69cbda67ff6251,4|27,approval|neutral,2,5,0,3,2,0,True,True
808,b0de61323adafe9356a405f7bf81aa4c641a91a3a8ee646bae90a4bda33e25f5,4|27,approval|neutral,2,5,0,2,3,0,True,True
