slice,label,precision,recall,f1,support
all,joy,0.6865671641791045,0.7540983606557377,0.71875,61
all,sadness,0.45454545454545453,0.5,0.47619047619047616,20
all,anger,0.5641025641025641,0.5116279069767442,0.5365853658536586,43
all,positive,0.6235294117647059,0.5463917525773195,0.5824175824175825,97
all,negative,0.5858585858585859,0.5272727272727272,0.5550239234449761,110
all,neutral,0.43902439024390244,0.3,0.3564356435643564,60
all,no_emotion,0.8715995647442872,0.9091940976163451,0.89,881
context_available,joy,0.675,0.7297297297297297,0.7012987012987013,37
context_available,sadness,0.47058823529411764,0.6153846153846154,0.5333333333333333,13
context_available,anger,0.56,0.5185185185185185,0.5384615384615384,27
context_available,positive,0.509090909090909,0.49122807017543857,0.5,57
context_available,negative,0.5,0.5423728813559322,0.5203252032520326,59
context_available,neutral,0.38461538461538464,0.25,0.30303030303030304,40
context_available,no_emotion,0.8962131837307152,0.9038189533239038,0.9,707
first_clause,joy,0.7037037037037037,0.7916666666666666,0.7450980392156863,24
first_clause,sadness,0.4,0.2857142857142857,0.3333333333333333,7
first_clause,anger,0.5714285714285714,0.5,0.5333333333333333,16
first_clause,positive,0.8333333333333334,0.625,0.7142857142857143,40
first_clause,negative,0.7428571428571429,0.5098039215686274,0.6046511627906976,51
first_clause,neutral,0.5333333333333333,0.4,0.45714285714285713,20
first_clause,no_emotion,0.7864077669902912,0.9310344827586207,0.8526315789473684,174
