slice,label,precision,recall,f1,support
all,joy,0.37142857142857144,0.4262295081967213,0.3969465648854962,61
all,sadness,0.08333333333333333,0.05,0.0625,20
all,anger,0.13675213675213677,0.37209302325581395,0.2,43
all,positive,0.2558139534883721,0.3402061855670103,0.2920353982300885,97
all,negative,0.10062893081761007,0.2909090909090909,0.14953271028037382,110
all,neutral,0.1864406779661017,0.18333333333333332,0.18487394957983194,60
all,no_emotion,0.7848324514991182,0.5051078320090806,0.6146408839779005,881
context_available,joy,0.3333333333333333,0.43243243243243246,0.3764705882352941,37
context_available,sadness,0.16666666666666666,0.07692307692307693,0.10526315789473684,13
context_available,anger,0.2413793103448276,0.25925925925925924,0.25,27
context_available,positive,0.1927710843373494,0.2807017543859649,0.22857142857142856,57
context_available,negative,0.08904109589041095,0.4406779661016949,0.14814814814814814,59
context_available,neutral,0.1794871794871795,0.175,0.17721518987341772,40
context_available,no_emotion,0.8103837471783296,0.5077793493635078,0.6243478260869565,707
first_clause,joy,0.45454545454545453,0.4166666666666667,0.43478260869565216,24
first_clause,sadness,0.0,0.0,0.0,7
first_clause,anger,0.10227272727272728,0.5625,0.17307692307692307,16
first_clause,positive,0.3695652173913043,0.425,0.3953488372093023,40
first_clause,negative,0.23076923076923078,0.11764705882352941,0.15584415584415584,51
first_clause,neutral,0.2,0.2,0.2,20
first_clause,no_emotion,0.6935483870967742,0.4942528735632184,0.5771812080536913,174
