emotion,rows,aggregation_only_rows,aggregation_only_rate,same_rater_coselection_rows,any_unclear_rows
admiration,94,94,1.0,0,2
amusement,57,57,1.0,0,2
anger,73,73,1.0,0,1
annoyance,132,132,1.0,0,5
approval,202,202,1.0,0,6
caring,61,61,1.0,0,2
confusion,98,98,1.0,0,1
curiosity,118,118,1.0,0,3
desire,27,27,1.0,0,1
disappointment,65,65,1.0,0,2
disapproval,109,109,1.0,0,4
disgust,29,29,1.0,0,1
embarrassment,12,12,1.0,0,0
excitement,21,21,1.0,0,1
fear,20,20,1.0,0,1
gratitude,14,14,1.0,0,0
grief,2,2,1.0,0,0
joy,45,45,1.0,0,1
love,38,38,1.0,0,0
nervousness,8,8,1.0,0,0
optimism,48,48,1.0,0,0
pride,6,6,1.0,0,1
realization,76,76,1.0,0,2
relief,8,8,1.0,0,0
remorse,4,4,1.0,0,0
sadness,58,58,1.0,0,2
surprise,33,33,1.0,0,1
