label_id,label,tn,fp,fn,tp
0,admiration,4762,176,126,362
1,amusement,5057,66,62,241
2,anger,5205,26,138,57
3,annoyance,5113,10,280,23
4,approval,4986,43,329,68
5,caring,5203,70,86,67
6,confusion,5250,24,103,49
7,curiosity,5062,116,121,127
8,desire,5329,20,43,34
9,disappointment,5170,93,114,49
10,disapproval,5031,103,223,69
11,disgust,5299,30,61,36
12,embarrassment,5391,0,23,12
13,excitement,5323,7,77,19
14,fear,5321,15,47,43
15,gratitude,5044,24,46,312
16,grief,5412,1,13,0
17,joy,5208,46,84,88
18,love,5089,85,49,203
19,nervousness,5405,0,19,2
20,optimism,5202,15,143,66
21,pride,5410,1,12,3
22,realization,5293,6,112,15
23,relief,5407,1,17,1
24,remorse,5339,19,33,35
25,sadness,5244,39,77,66
26,surprise,5260,37,79,50
27,neutral,2671,989,372,1394
