sample_id,sample_role,source_train_row,example_hash,gold_label_ids,gold_labels,gold_cardinality,rater_count,unclear_count,neutral_votes,max_emotion_votes,same_rater_coselection_count,aggregation_only,derived_labels_match
EXP-035-S001,aggregation_only,41720,8cc37285a0f3e0513066dc3e0badc042e789109fbaa7925c2da65fa6f4c6106e,5|27,caring|neutral,2,5,0,3,2,0,True,True
EXP-035-S002,aggregation_only,6320,7c900e1e15b0d44baf3cb863e1d25fa4d1aa7a99957343d5ee97735c8066769b,25|27,sadness|neutral,2,5,0,2,3,0,True,True
EXP-035-S003,aggregation_only,43383,8f83e3afcf330c0d7c455437108cbdd6af8e2b38cd813557d53ece6352fb0f0e,14|27,fear|neutral,2,5,0,2,2,0,True,True
EXP-035-S004,aggregation_only,34378,9f093f3e680ee5078173c5152df17f9b62bf6f66fd67ecc45213cc44b6f0d369,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
EXP-035-S005,aggregation_only,38899,fa88052a8237d2ef477aa7c3ddfa67abbbc545ff4b7204d134aa7d610165f724,4|27,approval|neutral,2,5,0,3,2,0,True,True
EXP-035-S006,aggregation_only,13769,b983aa67b96aa23549603ee93d58aef69dac2d234a461825e6f016a0d5423893,6|27,confusion|neutral,2,5,0,2,2,0,True,True
EXP-035-S007,aggregation_only,14937,95851ea2c83a22c5972032b99dbda1e0a380f54261c7d3abf9b24f2e70eea3d9,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
EXP-035-S008,aggregation_only,38363,5999a53dbc90144a7271ccde334967b76be62e95283eb3bd6977055ad74903d4,4|27,approval|neutral,2,5,0,2,3,0,True,True
EXP-035-S009,aggregation_only,39482,47bf3f0f65d4592b3d8d108ac02bfbbb4a97c5a903196a6596e1125bbb8b766b,10|27,disapproval|neutral,2,5,0,3,2,0,True,True
EXP-035-S010,aggregation_only,775,67726d4d5f6aa605846a4758ad71c813af696629a12c70e365702514c1f93433,6|22|27,confusion|realization|neutral,3,5,0,2,3,0,True,True
EXP-035-S011,aggregation_only,34834,e04b7ad48c55a56b76d87239fd6c04dff2a30210e3ac955202258a77e492e181,4|27,approval|neutral,2,5,0,2,3,0,True,True
EXP-035-S012,aggregation_only,22807,c9b897cf98dcae5b8af956975a7b94198a1cc9a89b5dc909d28288cd3a51d5f3,4|27,approval|neutral,2,5,0,2,2,0,True,True
EXP-035-S013,aggregation_only,10271,c76eb2685646c26a3804a0cd3135483bae7d9d7865278722c39ee94c5e337885,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
EXP-035-S014,aggregation_only,29279,df05f79a74d1bf46fb59e85edc132976c997e7b8d0819f1fddfb341892b1a51c,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
EXP-035-S015,aggregation_only,27223,7fb90252f7707fe70792e32febabedd205aa0a93cb69042ee9e99f39e7e4beca,10|27,disapproval|neutral,2,5,0,2,3,0,True,True
EXP-035-S016,aggregation_only,28283,a6ad3550b24bcd4efe4045bf84d0d9f37fcd5ae98cbc1648f1324bc90ae899ca,22|27,realization|neutral,2,5,0,2,2,0,True,True
EXP-035-S017,any_unclear,33148,651090e43d2f270a4f1c092525d64798eaf59c9fa83bcaf3ea40f0cc70ab71ff,3|27,annoyance|neutral,2,5,1,2,2,0,True,True
EXP-035-S018,any_unclear,29877,4dcbdf2698af17a6e821cfc51913da20d3e72d46c781f2d569be70cdacdb9fb6,25|27,sadness|neutral,2,5,1,2,2,0,True,True
EXP-035-S019,any_unclear,37391,eeb9b4fe32fc5d250a4ab04f7b9aaec5857df71233ac871d3fa90442eaa42b88,8|27,desire|neutral,2,5,1,2,2,0,True,True
EXP-035-S020,any_unclear,558,463a4d59041bf4ab48caa2a53879a0dda6f083b74945a049f9e243bc0b316e4b,10|27,disapproval|neutral,2,5,1,2,2,0,True,True
EXP-035-S021,any_unclear,32867,aa5148f45421fbd3726c2fd56149388285eb23ec766b5cbc891393c430b845fa,26|27,surprise|neutral,2,5,1,2,2,0,True,True
EXP-035-S022,any_unclear,10049,05d875e76b476ccf6caf4284e84ddad5c383024ca6ec339e573dee5e99fb6c31,17|27,joy|neutral,2,5,1,2,2,0,True,True
EXP-035-S023,any_unclear,12304,d7587399a5e9c3737626084c64649e1a79d6a8b4facaa74960d7769c204e3eb0,4|27,approval|neutral,2,5,1,2,2,0,True,True
EXP-035-S024,any_unclear,24757,39d024259cd9b766b756caf657317d04c4ec0177b292f457c67ef7e1b1e21fb0,25|27,sadness|neutral,2,5,1,2,2,0,True,True
EXP-035-S025,gold_cardinality_at_least_3,28334,dadeff9d4ad05639a25372dce74e5adfb80e5a90d3a145b9caf15fcce8ab060c,6|7|27,confusion|curiosity|neutral,3,5,0,2,2,0,True,True
EXP-035-S026,gold_cardinality_at_least_3,40459,bf754d818d0e9373feb8b57efe0a89fe4b5d915f60fb68a294d8f2f0e3bbb75b,9|25|27,disappointment|sadness|neutral,3,5,0,2,2,0,True,True
EXP-035-S027,gold_cardinality_at_least_3,42702,dcb627184cf4d51cdeff565acb1aac4cab5ab3a26faacd520072efce6f728811,5|14|27,caring|fear|neutral,3,5,0,2,2,0,True,True
EXP-035-S028,gold_cardinality_at_least_3,1539,5a304846aa2c6580603e1f0d71e97ed5e23af5ec1fb607b962e481af969dfdec,4|20|27,approval|optimism|neutral,3,5,0,2,2,0,True,True
EXP-035-S029,residual_fill,23653,efc1df64ec4c8452d0c75c427c10d11de28d8767f660502698568ebee8025158,21|27,pride|neutral,2,5,0,2,2,0,True,True
EXP-035-S030,residual_fill,29863,8771050953d669c7c19400469717b091d243685143a7c552ce3153d301929908,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
EXP-035-S031,residual_fill,28107,e34f65a4a7c9006e766d71784653649fe6846ac142e1d8066c78bdfb9cf2ad88,26|27,surprise|neutral,2,5,0,3,2,0,True,True
