label_id,label,tn,fp,fn,tp
0,admiration,4894,44,311,177
1,amusement,5097,26,179,124
2,anger,5221,10,169,26
3,annoyance,5119,4,301,2
4,approval,5020,9,384,13
5,caring,5270,3,148,5
6,confusion,5268,6,150,2
7,curiosity,5161,17,219,29
8,desire,5348,1,64,13
9,disappointment,5263,0,163,0
10,disapproval,5128,6,285,7
11,disgust,5326,3,92,5
12,embarrassment,5391,0,33,2
13,excitement,5322,8,91,5
14,fear,5336,0,82,8
15,gratitude,5059,9,81,277
16,grief,5413,0,13,0
17,joy,5242,12,147,25
18,love,5133,41,122,130
19,nervousness,5405,0,21,0
20,optimism,5204,13,163,46
21,pride,5411,0,15,0
22,realization,5298,1,126,1
23,relief,5408,0,18,0
24,remorse,5353,5,51,17
25,sadness,5278,5,123,20
26,surprise,5285,12,121,8
27,neutral,3281,379,1080,686
