gold_label,exp007_stable_wrong,exp011_stable_wrong,exp014_stable_wrong,exp015_stable_wrong,row_count,stratum_count,rate
ALL,0,0,0,0,923,1421,0.649542575651
ALL,0,0,0,1,12,1421,0.008444757213
ALL,0,0,1,0,6,1421,0.004222378607
ALL,0,0,1,1,2,1421,0.001407459536
ALL,0,1,0,0,13,1421,0.009148486981
ALL,0,1,0,1,3,1421,0.002111189303
ALL,0,1,1,0,18,1421,0.012667135820
ALL,0,1,1,1,19,1421,0.013370865588
ALL,1,0,0,0,254,1421,0.178747361013
ALL,1,0,0,1,25,1421,0.017593244194
ALL,1,0,1,0,12,1421,0.008444757213
ALL,1,0,1,1,4,1421,0.002814919071
ALL,1,1,0,0,7,1421,0.004926108374
ALL,1,1,0,1,3,1421,0.002111189303
ALL,1,1,1,0,33,1421,0.023223082336
ALL,1,1,1,1,87,1421,0.061224489796
anger,0,0,0,0,437,558,0.783154121864
anger,0,0,0,1,5,558,0.008960573477
anger,0,0,1,0,3,558,0.005376344086
anger,0,1,0,0,7,558,0.012544802867
anger,0,1,0,1,2,558,0.003584229391
anger,0,1,1,0,10,558,0.017921146953
anger,0,1,1,1,11,558,0.019713261649
anger,1,0,0,0,48,558,0.086021505376
anger,1,0,0,1,3,558,0.005376344086
anger,1,0,1,0,1,558,0.001792114695
anger,1,1,0,0,1,558,0.001792114695
anger,1,1,0,1,1,558,0.001792114695
anger,1,1,1,0,14,558,0.025089605735
anger,1,1,1,1,15,558,0.026881720430
joy,0,0,0,0,214,358,0.597765363128
joy,0,0,0,1,1,358,0.002793296089
joy,0,1,0,0,4,358,0.011173184358
joy,0,1,0,1,1,358,0.002793296089
joy,0,1,1,0,5,358,0.013966480447
joy,0,1,1,1,5,358,0.013966480447
joy,1,0,0,0,90,358,0.251396648045
joy,1,0,0,1,4,358,0.011173184358
joy,1,0,1,0,1,358,0.002793296089
joy,1,1,0,0,5,358,0.013966480447
joy,1,1,0,1,2,358,0.005586592179
joy,1,1,1,0,7,358,0.019553072626
joy,1,1,1,1,19,358,0.053072625698
optimism,0,0,0,0,47,123,0.382113821138
optimism,0,0,0,1,1,123,0.008130081301
optimism,0,0,1,0,2,123,0.016260162602
optimism,0,1,0,0,1,123,0.008130081301
optimism,0,1,1,1,1,123,0.008130081301
optimism,1,0,0,0,32,123,0.260162601626
optimism,1,0,0,1,6,123,0.048780487805
optimism,1,0,1,0,3,123,0.024390243902
optimism,1,0,1,1,3,123,0.024390243902
optimism,1,1,1,0,6,123,0.048780487805
optimism,1,1,1,1,21,123,0.170731707317
sadness,0,0,0,0,225,382,0.589005235602
sadness,0,0,0,1,5,382,0.013089005236
sadness,0,0,1,0,1,382,0.002617801047
sadness,0,0,1,1,2,382,0.005235602094
sadness,0,1,0,0,1,382,0.002617801047
sadness,0,1,1,0,3,382,0.007853403141
sadness,0,1,1,1,2,382,0.005235602094
sadness,1,0,0,0,84,382,0.219895287958
sadness,1,0,0,1,12,382,0.031413612565
sadness,1,0,1,0,7,382,0.018324607330
sadness,1,0,1,1,1,382,0.002617801047
sadness,1,1,0,0,1,382,0.002617801047
sadness,1,1,1,0,6,382,0.015706806283
sadness,1,1,1,1,32,382,0.083769633508
