label_id,label,tn,fp,fn,tp
0,admiration,4340,598,115,373
1,amusement,4821,302,76,227
2,anger,4745,486,71,124
3,annoyance,4109,1014,111,192
4,approval,3900,1129,148,249
5,caring,4962,311,73,80
6,confusion,4845,429,71,81
7,curiosity,4754,424,78,170
8,desire,5196,153,45,32
9,disappointment,4583,680,82,81
10,disapproval,4400,734,118,174
11,disgust,5050,279,61,36
12,embarrassment,5295,96,25,10
13,excitement,5043,287,54,42
14,fear,5217,119,50,40
15,gratitude,4927,141,58,300
16,grief,5395,18,7,6
17,joy,4795,459,80,92
18,love,4981,193,71,181
19,nervousness,5368,37,18,3
20,optimism,4750,467,85,124
21,pride,5389,22,10,5
22,realization,4613,686,75,52
23,relief,5380,28,18,0
24,remorse,5253,105,36,32
25,sadness,4939,344,51,92
26,surprise,5012,285,71,58
27,neutral,2573,1087,423,1343
