label_id,label,tn,fp,fn,tp
0,admiration,4925,13,468,20
1,amusement,4880,243,113,190
2,anger,5153,78,153,42
3,annoyance,5018,105,273,30
4,approval,4175,854,272,125
5,caring,4981,292,112,41
6,confusion,4904,370,83,69
7,curiosity,4759,419,137,111
8,desire,5300,49,61,16
9,disappointment,4961,302,99,64
10,disapproval,3756,1378,131,161
11,disgust,5034,295,54,43
12,embarrassment,5226,165,26,9
13,excitement,4777,553,36,60
14,fear,5019,317,40,50
15,gratitude,4933,135,153,205
16,grief,5294,119,4,9
17,joy,5040,214,107,65
18,love,5084,90,102,150
19,nervousness,5364,41,13,8
20,optimism,5157,60,188,21
21,pride,5389,22,8,7
22,realization,5012,287,101,26
23,relief,5343,65,13,5
24,remorse,5197,161,52,16
25,sadness,5048,235,74,69
26,surprise,4958,339,68,61
27,neutral,3520,140,1514,252
