label_id,label,precision,recall,f1,support,predicted_support
0,admiration,0.6559714795008913,0.75409836065573765,0.70162059103908481,488,561
1,amusement,0.7357357357357357,0.8085808580858086,0.77044025157232709,303,333
2,anger,0.55102040816326525,0.41538461538461541,0.47368421052631576,195,147
3,annoyance,0.6216216216216216,0.07590759075907591,0.13529411764705881,303,37
4,approval,0.45833333333333331,0.22166246851385391,0.29881154499151102,397,192
5,caring,0.44262295081967212,0.52941176470588236,0.48214285714285715,153,183
6,confusion,0.56122448979591832,0.36184210526315791,0.44,152,98
7,curiosity,0.4521276595744681,0.68548387096774188,0.54487179487179482,248,376
8,desire,0.55555555555555558,0.51948051948051943,0.53691275167785235,77,72
9,disappointment,0.30708661417322836,0.4785276073619632,0.37410071942446044,163,254
10,disapproval,0.37134502923976609,0.43493150684931509,0.40063091482649843,292,342
11,disgust,0.31413612565445026,0.61855670103092786,0.41666666666666669,97,191
12,embarrassment,0.77272727272727271,0.48571428571428571,0.59649122807017541,35,22
13,excitement,0.40229885057471265,0.36458333333333331,0.38251366120218577,96,87
14,fear,0.70491803278688525,0.4777777777777778,0.56953642384105962,90,61
15,gratitude,0.92941176470588238,0.88268156424581001,0.90544412607449853,358,340
16,grief,0.20000000000000001,0.076923076923076927,0.1111111111111111,13,5
17,joy,0.58389261744966447,0.5058139534883721,0.54205607476635509,172,149
18,love,0.74349442379182151,0.79365079365079361,0.76775431861804222,252,269
19,nervousness,0.5,0.19047619047619047,0.27586206896551724,21,8
20,optimism,0.65693430656934304,0.43062200956937802,0.52023121387283233,209,137
21,pride,0.80000000000000004,0.26666666666666666,0.40000000000000002,15,5
22,realization,0.37037037037037035,0.15748031496062992,0.22099447513812154,127,54
23,relief,0.33333333333333331,0.055555555555555552,0.095238095238095233,18,3
24,remorse,0.70370370370370372,0.55882352941176472,0.62295081967213117,68,54
25,sadness,0.68354430379746833,0.3776223776223776,0.48648648648648651,143,79
26,surprise,0.58441558441558439,0.34883720930232559,0.43689320388349512,129,77
27,neutral,0.66133004926108374,0.60815402038505095,0.63362831858407076,1766,1624
