label_id,label,tn,fp,fn,tp
0,admiration,4891,47,447,41
1,amusement,4707,416,93,210
2,anger,5163,68,165,30
3,annoyance,5052,71,274,29
4,approval,4185,844,275,122
5,caring,5235,38,143,10
6,confusion,5261,13,130,22
7,curiosity,5101,77,207,41
8,desire,5331,18,71,6
9,disappointment,4144,1119,58,105
10,disapproval,3985,1149,151,141
11,disgust,5219,110,63,34
12,embarrassment,5350,41,25,10
13,excitement,4813,517,47,49
14,fear,5207,129,67,23
15,gratitude,5036,32,300,58
16,grief,5403,10,10,3
17,joy,5109,145,116,56
18,love,5124,50,125,127
19,nervousness,5403,2,17,4
20,optimism,5197,20,199,10
21,pride,5404,7,8,7
22,realization,5292,7,121,6
23,relief,5374,34,14,4
24,remorse,5321,37,65,3
25,sadness,5197,86,95,48
26,surprise,5218,79,101,28
27,neutral,3348,312,1387,379
