slice,label,precision,recall,f1,support
all,joy,0.71875,0.7540983606557377,0.736,61
all,sadness,0.4782608695652174,0.55,0.5116279069767442,20
all,anger,0.6216216216216216,0.5348837209302325,0.575,43
all,positive,0.5462962962962963,0.6082474226804123,0.5756097560975609,97
all,negative,0.5391304347826087,0.5636363636363636,0.5511111111111111,110
all,neutral,0.4722222222222222,0.2833333333333333,0.3541666666666667,60
all,no_emotion,0.8796400449943758,0.887627695800227,0.8836158192090395,881
context_available,joy,0.6666666666666666,0.7567567567567568,0.7088607594936709,37
context_available,sadness,0.4444444444444444,0.6153846153846154,0.5161290322580645,13
context_available,anger,0.65,0.48148148148148145,0.5531914893617021,27
context_available,positive,0.46875,0.5263157894736842,0.49586776859504134,57
context_available,negative,0.4342105263157895,0.559322033898305,0.4888888888888889,59
context_available,neutral,0.4444444444444444,0.2,0.27586206896551724,40
context_available,no_emotion,0.8945868945868946,0.8882602545968883,0.8914123491838183,707
first_clause,joy,0.8181818181818182,0.75,0.782608695652174,24
first_clause,sadness,0.6,0.42857142857142855,0.5,7
first_clause,anger,0.5882352941176471,0.625,0.6060606060606061,16
first_clause,positive,0.6590909090909091,0.725,0.6904761904761905,40
first_clause,negative,0.7435897435897436,0.5686274509803921,0.6444444444444445,51
first_clause,neutral,0.5,0.45,0.47368421052631576,20
first_clause,no_emotion,0.8235294117647058,0.8850574712643678,0.853185595567867,174
