sample_rank,role,row_id,gold_label,evidence_flags,primary_possible_source,reviewer_confidence
1,final_high_confidence_errors,1153,anger,implicit_emotion|possible_context_dependency|annotation_ambiguity|lexical_cue_conflict,annotation_or_data_uncertainty,high
2,final_high_confidence_errors,1050,anger,sarcasm_or_irony|mixed_emotion|lexical_cue_conflict,model_or_representation_limit,high
3,final_high_confidence_errors,640,joy,mixed_emotion|slang_or_noise|annotation_ambiguity|lexical_cue_conflict,surface_form_noise,high
4,final_high_confidence_errors,507,joy,sarcasm_or_irony|mixed_emotion|lexical_cue_conflict,model_or_representation_limit,high
5,final_high_confidence_errors,1007,optimism,possible_context_dependency|annotation_ambiguity|lexical_cue_conflict|minority_class,annotation_or_data_uncertainty,high
6,final_high_confidence_errors,40,optimism,implicit_emotion|possible_context_dependency|annotation_ambiguity|lexical_cue_conflict|minority_class,annotation_or_data_uncertainty,medium
7,final_high_confidence_errors,1340,sadness,sarcasm_or_irony|mixed_emotion|slang_or_noise|lexical_cue_conflict,ontology_overlap,medium
8,final_high_confidence_errors,941,sadness,mixed_emotion|lexical_cue_conflict,ontology_overlap,high
9,final_high_confidence_errors,594,sadness,implicit_emotion|mixed_emotion|possible_context_dependency,ontology_overlap,medium
10,final_high_confidence_errors,1344,sadness,mixed_emotion|slang_or_noise|possible_context_dependency|annotation_ambiguity|lexical_cue_conflict,ontology_overlap,medium
11,final_high_confidence_errors,208,sadness,sarcasm_or_irony|mixed_emotion|slang_or_noise|lexical_cue_conflict,model_or_representation_limit,high
12,final_high_confidence_errors,499,sadness,implicit_emotion|mixed_emotion|possible_context_dependency|lexical_cue_conflict,model_or_representation_limit,high
13,final_high_confidence_errors,434,sadness,sarcasm_or_irony|mixed_emotion|annotation_ambiguity|lexical_cue_conflict,annotation_or_data_uncertainty,high
14,final_high_confidence_errors,200,joy,negation|implicit_emotion|lexical_cue_conflict,ontology_overlap,high
15,final_high_confidence_errors,760,anger,mixed_emotion|lexical_cue_conflict,ontology_overlap,high
16,final_high_confidence_errors,1333,anger,implicit_emotion|mixed_emotion,ontology_overlap,high
17,domain_recoveries,948,anger,slang_or_noise,surface_form_noise,high
18,domain_recoveries,567,anger,sarcasm_or_irony|mixed_emotion|lexical_cue_conflict,model_or_representation_limit,high
19,domain_recoveries,1134,joy,negation|slang_or_noise|possible_context_dependency|annotation_ambiguity,surface_form_noise,medium
20,domain_recoveries,1129,joy,sarcasm_or_irony|mixed_emotion|slang_or_noise|lexical_cue_conflict,ontology_overlap,high
21,domain_recoveries,267,sadness,implicit_emotion|slang_or_noise,surface_form_noise,high
22,domain_recoveries,140,sadness,implicit_emotion|slang_or_noise|possible_context_dependency,missing_context,high
23,domain_regressions,1019,anger,sarcasm_or_irony|mixed_emotion|slang_or_noise|lexical_cue_conflict,model_or_representation_limit,high
24,domain_regressions,642,anger,sarcasm_or_irony|mixed_emotion|possible_context_dependency|lexical_cue_conflict,model_or_representation_limit,high
25,domain_regressions,115,sadness,mixed_emotion|slang_or_noise|lexical_cue_conflict,ontology_overlap,high
26,domain_regressions,768,sadness,implicit_emotion|possible_context_dependency|annotation_ambiguity|lexical_cue_conflict,annotation_or_data_uncertainty,high
27,shared_errors,1186,anger,mixed_emotion|slang_or_noise|lexical_cue_conflict,ontology_overlap,high
28,shared_errors,1364,anger,mixed_emotion|slang_or_noise|annotation_ambiguity|lexical_cue_conflict,annotation_or_data_uncertainty,high
29,shared_errors,1231,joy,mixed_emotion|slang_or_noise|possible_context_dependency|annotation_ambiguity,surface_form_noise,high
30,shared_errors,213,joy,sarcasm_or_irony|implicit_emotion|lexical_cue_conflict,model_or_representation_limit,high
31,shared_errors,458,optimism,negation|mixed_emotion|lexical_cue_conflict|minority_class,model_or_representation_limit,high
32,shared_errors,1170,optimism,negation|mixed_emotion|possible_context_dependency|lexical_cue_conflict|minority_class,ontology_overlap,high
33,shared_errors,1160,sadness,sarcasm_or_irony|slang_or_noise|possible_context_dependency|annotation_ambiguity|lexical_cue_conflict,annotation_or_data_uncertainty,high
34,shared_errors,1077,sadness,negation|mixed_emotion|possible_context_dependency|annotation_ambiguity|lexical_cue_conflict,missing_context,high
35,ordinary_final_errors,696,anger,possible_context_dependency|annotation_ambiguity|lexical_cue_conflict,ontology_overlap,high
36,ordinary_final_errors,829,anger,sarcasm_or_irony|mixed_emotion|lexical_cue_conflict,model_or_representation_limit,high
37,ordinary_final_errors,553,joy,implicit_emotion|possible_context_dependency|annotation_ambiguity,missing_context,medium
38,ordinary_final_errors,384,joy,implicit_emotion|mixed_emotion|annotation_ambiguity|lexical_cue_conflict,ontology_overlap,high
39,ordinary_final_errors,496,optimism,implicit_emotion|mixed_emotion|possible_context_dependency|minority_class,ontology_overlap,medium
40,ordinary_final_errors,145,optimism,possible_context_dependency|annotation_ambiguity|minority_class,missing_context,high
41,ordinary_final_errors,834,sadness,sarcasm_or_irony|negation|mixed_emotion|slang_or_noise|lexical_cue_conflict,model_or_representation_limit,high
42,ordinary_final_errors,1086,sadness,negation|implicit_emotion|lexical_cue_conflict,model_or_representation_limit,high
