condition_id,gold_label,prediction_label,seed_sample_count,gold_seed_sample_count,rate_within_gold
exp-007-linear-svm,anger,anger,475,558,0.851254480287
exp-007-linear-svm,anger,joy,31,558,0.055555555556
exp-007-linear-svm,anger,optimism,16,558,0.028673835125
exp-007-linear-svm,anger,sadness,36,558,0.064516129032
exp-007-linear-svm,joy,anger,71,358,0.198324022346
exp-007-linear-svm,joy,joy,230,358,0.642458100559
exp-007-linear-svm,joy,optimism,12,358,0.033519553073
exp-007-linear-svm,joy,sadness,45,358,0.125698324022
exp-007-linear-svm,optimism,anger,40,123,0.325203252033
exp-007-linear-svm,optimism,joy,17,123,0.138211382114
exp-007-linear-svm,optimism,optimism,52,123,0.422764227642
exp-007-linear-svm,optimism,sadness,14,123,0.113821138211
exp-007-linear-svm,sadness,anger,84,382,0.219895287958
exp-007-linear-svm,sadness,joy,38,382,0.099476439791
exp-007-linear-svm,sadness,optimism,21,382,0.054973821990
exp-007-linear-svm,sadness,sadness,239,382,0.625654450262
exp-011-generic-roberta,anger,anger,1411,1674,0.842891278375
exp-011-generic-roberta,anger,joy,65,1674,0.038829151732
exp-011-generic-roberta,anger,optimism,42,1674,0.025089605735
exp-011-generic-roberta,anger,sadness,156,1674,0.093189964158
exp-011-generic-roberta,joy,anger,58,1074,0.054003724395
exp-011-generic-roberta,joy,joy,879,1074,0.818435754190
exp-011-generic-roberta,joy,optimism,43,1074,0.040037243948
exp-011-generic-roberta,joy,sadness,94,1074,0.087523277467
exp-011-generic-roberta,optimism,anger,45,369,0.121951219512
exp-011-generic-roberta,optimism,joy,33,369,0.089430894309
exp-011-generic-roberta,optimism,optimism,254,369,0.688346883469
exp-011-generic-roberta,optimism,sadness,37,369,0.100271002710
exp-011-generic-roberta,sadness,anger,112,1146,0.097731239092
exp-011-generic-roberta,sadness,joy,64,1146,0.055846422339
exp-011-generic-roberta,sadness,optimism,19,1146,0.016579406632
exp-011-generic-roberta,sadness,sadness,951,1146,0.829842931937
exp-014-generic-roberta-label-smoothing,anger,anger,1443,1674,0.862007168459
exp-014-generic-roberta-label-smoothing,anger,joy,71,1674,0.042413381123
exp-014-generic-roberta-label-smoothing,anger,optimism,34,1674,0.020310633214
exp-014-generic-roberta-label-smoothing,anger,sadness,126,1674,0.075268817204
exp-014-generic-roberta-label-smoothing,joy,anger,60,1074,0.055865921788
exp-014-generic-roberta-label-smoothing,joy,joy,897,1074,0.835195530726
exp-014-generic-roberta-label-smoothing,joy,optimism,35,1074,0.032588454376
exp-014-generic-roberta-label-smoothing,joy,sadness,82,1074,0.076350093110
exp-014-generic-roberta-label-smoothing,optimism,anger,50,369,0.135501355014
exp-014-generic-roberta-label-smoothing,optimism,joy,44,369,0.119241192412
exp-014-generic-roberta-label-smoothing,optimism,optimism,238,369,0.644986449864
exp-014-generic-roberta-label-smoothing,optimism,sadness,37,369,0.100271002710
exp-014-generic-roberta-label-smoothing,sadness,anger,130,1146,0.113438045375
exp-014-generic-roberta-label-smoothing,sadness,joy,75,1146,0.065445026178
exp-014-generic-roberta-label-smoothing,sadness,optimism,20,1146,0.017452006981
exp-014-generic-roberta-label-smoothing,sadness,sadness,921,1146,0.803664921466
exp-015-twitter-roberta-label-smoothing,anger,anger,1499,1674,0.895459976105
exp-015-twitter-roberta-label-smoothing,anger,joy,59,1674,0.035244922342
exp-015-twitter-roberta-label-smoothing,anger,optimism,29,1674,0.017323775388
exp-015-twitter-roberta-label-smoothing,anger,sadness,87,1674,0.051971326165
exp-015-twitter-roberta-label-smoothing,joy,anger,67,1074,0.062383612663
exp-015-twitter-roberta-label-smoothing,joy,joy,915,1074,0.851955307263
exp-015-twitter-roberta-label-smoothing,joy,optimism,30,1074,0.027932960894
exp-015-twitter-roberta-label-smoothing,joy,sadness,62,1074,0.057728119181
exp-015-twitter-roberta-label-smoothing,optimism,anger,62,369,0.168021680217
exp-015-twitter-roberta-label-smoothing,optimism,joy,42,369,0.113821138211
exp-015-twitter-roberta-label-smoothing,optimism,optimism,240,369,0.650406504065
exp-015-twitter-roberta-label-smoothing,optimism,sadness,25,369,0.067750677507
exp-015-twitter-roberta-label-smoothing,sadness,anger,129,1146,0.112565445026
exp-015-twitter-roberta-label-smoothing,sadness,joy,64,1146,0.055846422339
exp-015-twitter-roberta-label-smoothing,sadness,optimism,26,1146,0.022687609075
exp-015-twitter-roberta-label-smoothing,sadness,sadness,927,1146,0.808900523560
