comparison_id,before_condition,after_condition,gold_label,transition,row_count,stratum_count,rate
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,ALL,stable_recovery,0,1421,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,ALL,stable_regression,0,1421,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,ALL,more_correct_seeds,80,1421,0.056298381422
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,ALL,fewer_correct_seeds,82,1421,0.057705840957
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,ALL,unchanged_correct_seed_count,1259,1421,0.885995777621
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,anger,stable_recovery,0,558,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,anger,stable_regression,0,558,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,anger,more_correct_seeds,41,558,0.073476702509
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,anger,fewer_correct_seeds,14,558,0.025089605735
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,anger,unchanged_correct_seed_count,503,558,0.901433691756
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,joy,stable_recovery,0,358,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,joy,stable_regression,0,358,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,joy,more_correct_seeds,23,358,0.064245810056
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,joy,fewer_correct_seeds,11,358,0.030726256983
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,joy,unchanged_correct_seed_count,324,358,0.905027932961
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,optimism,stable_recovery,0,123,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,optimism,stable_regression,0,123,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,optimism,more_correct_seeds,5,123,0.040650406504
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,optimism,fewer_correct_seeds,21,123,0.170731707317
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,optimism,unchanged_correct_seed_count,97,123,0.788617886179
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,sadness,stable_recovery,0,382,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,sadness,stable_regression,0,382,0.000000000000
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,sadness,more_correct_seeds,11,382,0.028795811518
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,sadness,fewer_correct_seeds,36,382,0.094240837696
exp014_minus_exp011,exp-011-generic-roberta,exp-014-generic-roberta-label-smoothing,sadness,unchanged_correct_seed_count,335,382,0.876963350785
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,ALL,stable_recovery,21,1421,0.014778325123
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,ALL,stable_regression,11,1421,0.007741027445
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,ALL,more_correct_seeds,129,1421,0.090781140042
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,ALL,fewer_correct_seeds,90,1421,0.063335679099
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,ALL,unchanged_correct_seed_count,1170,1421,0.823363828290
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,anger,stable_recovery,12,558,0.021505376344
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,anger,stable_regression,4,558,0.007168458781
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,anger,more_correct_seeds,47,558,0.084229390681
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,anger,fewer_correct_seeds,18,558,0.032258064516
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,anger,unchanged_correct_seed_count,477,558,0.854838709677
